pair,J_mean,J_lo,J_hi,excludes_zero
Ciprofloxacin ~ Ampicillin,0.7800349094382881,0.6348286923034065,0.9300123017986028,True
Gentamicin ~ Amikacin,0.7682465568999804,0.7029767300520271,0.8334358127370232,True
Ampicillin sulbactam ~ Amikacin,0.723201283682104,0.6373990498925828,0.808869675780318,True
Trimethoprim sulfa ~ Gentamicin,0.7036169931956617,0.6426262530055947,0.7645935585277192,True
Levofloxacin ~ Imipenem,-0.6813205542763929,-1.1084810333580057,-0.235191252383146,True
Aztreonam ~ Amoxycillin clavulanate,-0.6674547790148272,-0.8136110076322365,-0.5217369036052321,True
Levofloxacin ~ Cefepime,0.6498091239151428,0.43007680304524104,0.8603506990692582,True
Cefepime ~ Gentamicin,0.6079850858273591,0.49277047825867654,0.7205388620355117,True
Ampicillin ~ Amikacin,-0.5815922929317427,-0.6918001679369734,-0.46937971839692877,True
Levofloxacin ~ Gentamicin,0.5745526203772628,0.44564631891712525,0.709972393942885,True
Ciprofloxacin ~ Trimethoprim sulfa,0.555830193332499,0.45085615249731675,0.6611567851562495,True
Cefepime ~ Amikacin,0.53380689338312,0.4046819487425008,0.668195272284069,True
Levofloxacin ~ Piperacillin tazobactam,0.530212173727158,0.3495754216417751,0.7130095782380724,True
Ampicillin sulbactam ~ Gentamicin,0.5152264827590963,0.45329388100626244,0.5771911828897378,True
Ciprofloxacin ~ Amikacin,0.5118467651838823,0.359596540020728,0.6668168430571154,True
Ciprofloxacin ~ Ceftaroline,0.4878646983435768,0.3077751377511749,0.66593724737687,True
Ciprofloxacin ~ Aztreonam,0.44447447593246453,0.18968114044391074,0.703853599848648,True
Aztreonam ~ Imipenem,0.43757354166484097,0.06086825744388844,0.8124642700190701,True
Amikacin ~ Meropenem,0.42606183594057645,0.1709995533873729,0.6877378298562302,True
Ampicillin sulbactam ~ Aztreonam,-0.42236106514904376,-0.5539570665548312,-0.2864611412890904,True
Ciprofloxacin ~ Ceftazidime,0.4198746017016887,0.2060672693110538,0.6358187762999975,True
Ceftazidime ~ Gentamicin,0.4127970295028806,0.32129126369486743,0.5046193029649058,True
Ciprofloxacin ~ Gentamicin,0.412108636557071,0.27151550893232046,0.547889869535774,True
Ciprofloxacin ~ Imipenem,0.39949819643199064,-0.05169693515969514,0.8296303832661953,False
Ceftaroline ~ Gentamicin,-0.3899704154985108,-0.4940848790479672,-0.2793552052815479,True
Levofloxacin ~ Amikacin,0.3544435764506874,0.207669729071143,0.5017859372328611,True
Ceftazidime ~ Imipenem,-0.34508312463303825,-0.6853617643467534,0.0012428972385651643,False
Aztreonam ~ Piperacillin tazobactam,-0.3427438325718346,-0.4875404303713553,-0.19674339678011235,True
Ampicillin sulbactam ~ Ceftaroline,0.25096911505372205,0.15810788028223133,0.343441006196845,True
Levofloxacin ~ Ceftazidime,-0.2447796775818223,-0.448590888519361,-0.04389043650991667,True
Ciprofloxacin ~ Meropenem,-0.22558098130672632,-0.8296963866646163,0.3979436820897118,False
Ciprofloxacin ~ Piperacillin tazobactam,-0.21120831796861533,-0.40099014832967533,-0.022252077551288087,True
Ampicillin sulbactam ~ Cefepime,0.2068165257961162,0.08720705250925659,0.32739698302710535,True
Ampicillin sulbactam ~ Ceftazidime,0.18684612500930392,0.08947987665184297,0.28376726450348155,True
Levofloxacin ~ Ceftaroline,0.1854745216782354,0.0016935207130963433,0.36754233043941453,True
Ciprofloxacin ~ Cefepime,0.18539582084567036,-0.03119711360535156,0.407262816300769,False
Ceftaroline ~ Amikacin,-0.18220082605562865,-0.31078025612255705,-0.05615711130890586,True
Trimethoprim sulfa ~ Levofloxacin,0.18119298074384785,0.07701220658476206,0.2904266660217765,True
Ciprofloxacin ~ Amoxycillin clavulanate,0.17378178423163834,0.018953673152709592,0.32493545081924274,True
Amikacin ~ Imipenem,-0.16525224461043825,-0.40562210373444,0.07341096501950146,False
Trimethoprim sulfa ~ Cefepime,-0.15258260179893018,-0.24841809900298442,-0.0567191756455439,True
Trimethoprim sulfa ~ Imipenem,0.1451705165053661,-0.06952653121912344,0.3630927804303573,False
Ampicillin ~ Piperacillin tazobactam,0.14426638431426644,-0.3504784506897757,0.6571694183565162,False
Ceftazidime ~ Amikacin,0.14162643087046087,0.0293918994172294,0.2568460161935237,True
Levofloxacin ~ Amoxycillin clavulanate,-0.1410376892652787,-0.2903524507204972,0.007668222830103908,False
Trimethoprim sulfa ~ Ceftaroline,0.14055985189228376,0.058941526581332955,0.22230909720577743,True
Trimethoprim sulfa ~ Aztreonam,0.13230659645196005,0.022670257073452917,0.2382470886367211,True
Levofloxacin ~ Aztreonam,0.11998734002879012,-0.12934717427519557,0.37444388581415533,False
Ampicillin sulbactam ~ Imipenem,-0.1154596638844994,-0.48025084484152564,0.24605924526826278,False
Amoxycillin clavulanate ~ Amikacin,0.10311596566571977,0.022136743229717322,0.18291807362043408,True
Amoxycillin clavulanate ~ Gentamicin,-0.10132385449668248,-0.1742249078047701,-0.028723143143733632,True
Aztreonam ~ Gentamicin,0.09626237214808844,-0.025334192094032294,0.22046505916357792,False
Gentamicin ~ Meropenem,0.09024879730788728,-0.16629396684506545,0.35019307483246315,False
Trimethoprim sulfa ~ Ceftazidime,-0.08676225370870015,-0.17592989074806312,-0.0010316828516173696,True
Ceftazidime ~ Piperacillin tazobactam,-0.08258330738649652,-0.2094302566921134,0.04025110978707415,False
Gentamicin ~ Piperacillin tazobactam,-0.07813827332287236,-0.16290385523271436,0.0023882533912930153,False
Aztreonam ~ Amikacin,0.07375519666349145,-0.06638843024413976,0.2190890725079903,False
Trimethoprim sulfa ~ Amoxycillin clavulanate,-0.057591251023188156,-0.11783472373176422,0.002041037206156926,False
Trimethoprim sulfa ~ Amikacin,-0.04749785856229862,-0.11730473640945858,0.021385485488674135,False
Levofloxacin ~ Ampicillin sulbactam,0.04331456679016397,-0.07413906261992559,0.1649480847539736,False
Gentamicin ~ Imipenem,-0.04207262844628181,-0.27609055851788644,0.1937261222057126,False
Ciprofloxacin ~ Ampicillin sulbactam,-0.020768382454307874,-0.14322901907048363,0.09775338964962477,False
Trimethoprim sulfa ~ Piperacillin tazobactam,0.014353190279462495,-0.058337203595147546,0.08912012925934276,False
Cefepime ~ Piperacillin tazobactam,0.0038501358137161806,-0.1238488272559541,0.12884511450947644,False
Trimethoprim sulfa ~ Ampicillin sulbactam,-0.003419361541899353,-0.05556910957416525,0.04619984530749499,False
Levofloxacin ~ Ampicillin,-0.002846349823984402,-0.15667847872331356,0.1468375872946521,False
Cefepime ~ Imipenem,-0.0010129357767200366,-0.3209622253882503,0.3419515816218988,False
